"2349723","485 N Clinton Ave, Rochester, New York, ","Match","Non_Exact","485 CLINTON AVE N, ROCHESTER, NY, 14605","-77.610485776252,43.166855348549","14538068","L"
"2723247","7500 block of Whitaker Ave, Philadelphia, Pennsylvania, ","Match","Non_Exact","7500 WHITAKER AVE, PHILADELPHIA, PA, 19111","-75.073955851376,40.060403936275","131415882","L"
"2725422","10640 N McCarran Blvd, Reno, Nevada, ","Match","Exact","10640 N MCCARRAN BLVD, RENO, NV, 89503","-119.863777680319,39.53817686384","629038091","L"
"2675914","5805 Wild Plum Rd, Crystal Lake, Illinois, ","Match","Exact","5805 WILD PLUM RD, CRYSTAL LAKE, IL, 60014","-88.279207109558,42.244048692659","119821377","L"
"2634135","2620 N Hiawassee Rd, Orlando, Florida, ","Match","Exact","2620 N HIAWASSEE RD, ORLANDO, FL, 32818","-81.476109274986,28.581658895326","94370940","L"
"2153779","210 N 9th St, Nashville, Tennessee, ","Match","Exact","210 N 9TH ST, NASHVILLE, TN, 37206","-86.75782530643,36.178716749269","617928777","L"
"3086267","4250 W Main St, Kalamazoo, Michigan, ","Match","Exact","4250 W MAIN ST, KALAMAZOO, MI, 49006","-85.641831371995,42.296313706122","12223505","R"
"2959734","Cumberland Rd, Ocean Springs, Mississippi, ","No_Match"
"3066653","800 block of Mt Pleasant Rd, Pittsburgh, Pennsylvania, ","Match","Non_Exact","800 MOUNT PLEASANT RD, PITTSBURGH, PA, 15214","-79.997700493674,40.476176457096","51625643","R"
"2544566","4800 block of Roque Loop, Laredo, Texas, ","No_Match"
"2899989","3562 Kirby Pkwy, Memphis, Tennessee, ","Match","Exact","3562 KIRBY PKWY, MEMPHIS, TN, 38115","-89.843997843034,35.051513774103","607467622","L"
"3030222","N 16th St and E Van Buren St, Phoenix, Arizona, ","Match","Exact","N 16TH ST & E VAN BUREN ST, PHOENIX, AZ, 85034","-112.04770298624,33.451428881148","",""
"3006116","308 Shirley Dr, Warner Robins, Georgia, ","Match","Exact","308 SHIRLEY DR, WARNER ROBINS, GA, 31088","-83.6219300044,32.612935928168","91220262","L"
"2608239","3300 block of Ramona Ave, Baltimore, Maryland, ","Match","Non_Exact","3300 RAMONA AVE, BALTIMORE, MD, 21213","-76.564252083675,39.323737604024","206411391","L"
"2463882","560 Line St, Philadelphia, Mississippi, ","Match","Exact","560 LINE ST, PHILADELPHIA, MS, 39350","-89.104394939313,32.761581248627","625400962","R"
"2293603","2100 block of North 39th St, Baton Rouge, Louisiana, ","Match","Non_Exact","2100 N 39TH ST, BATON ROUGE, LA, 70802","-91.151321664557,30.467249125832","92181529","R"
"2947743","N 11th St and Market St, Saint Louis, Missouri, ","Match","Exact","N 11TH ST & MARKET ST, SAINT LOUIS, MO, 63101","-90.196450311684,38.626993858489","",""
"2590876","300 block of Orange St, Newark, New Jersey, ","Match","Non_Exact","300 ORANGE ST, NEWARK, NJ, 07103","-74.181605984365,40.749184288148","63466872","L"
"2692026","100 block of Peacock Holler, Ripley, Mississippi, ","No_Match"
"2667046","2121 E 99th Pl, Los Angeles, California, ","Match","Exact","2121 E 99TH PL, LOS ANGELES, CA, 90002","-118.235034380828,33.947186796461","655807377","L"
"2150274","350 N Milwaukee St, Boise, Idaho, ","Match","Exact","350 N MILWAUKEE ST, BOISE, ID, 83704","-116.284404108416,43.610187357788","117861045","R"
"2324435","5500 block of Plainfield Ave, Baltimore, Maryland, ","Match","Non_Exact","5500 PLAINFIELD AVE, BALTIMORE, MD, 21206","-76.545294347858,39.335760804124","206411687","L"
"3127740","900 block of College Park Dr, Memphis, Tennessee, ","Match","Non_Exact","900 COLLEGE PARK DR, MEMPHIS, TN, 38126","-90.033699042013,35.121660899727","607433995","L"
"2666195","1400 block of Senator Ln, Chicago Heights (Ford Heights), Illinois, ","Match","Non_Exact","1400 SENATOR LN, CHICAGO HEIGHTS, IL, 60411","-87.587275315507,41.509454263208","111785720","L"
"2212203","2700 block of Tarleton Ave, Knoxville, Tennessee, ","Match","Non_Exact","2700 TARLETON AVE, KNOXVILLE, TN, 37914","-83.888230392626,35.985202692832","42623398","R"
"2634147","Fourth St and Johnson St, Saginaw, Michigan, ","Match","Non_Exact","N 4TH AVE & JOHNSON ST, SAGINAW, MI, 48607","-83.928968710346,43.434342678897","",""
"2933578","3200 block of Bellefontaine Ave, Kansas City, Missouri, ","Match","Non_Exact","3200 BELLEFONTAINE AVE, KANSAS CITY, MO, 64128","-94.547314279125,39.067803655012","91450267","R"
"3026197","1500 W 51st St, Chicago, Illinois, ","Match","Exact","1500 W 51ST ST, CHICAGO, IL, 60609","-87.662424607698,41.801404457054","111805708","R"
"2450557","935 St Louis Ave, East Saint Louis, Illinois, ","Match","Exact","935 SAINT LOUIS AVE, EAST SAINT LOUIS, IL, 62201","-90.152885874277,38.623901960493","107829816","L"
"3052028","2310 N Highland Ave, Jackson, Tennessee, ","Match","Exact","2310 N HIGHLAND AVE, JACKSON, TN, 38305","-88.829086140464,35.666810224649","608815953","R"
"2310278","715 Old Carrizo Rd, Uvalde, Texas, ","Match","Exact","715 OLD CARRIZO RD, UVALDE, TX, 78801","-99.788021511187,29.200171698962","183445296","L"
"2589882","1000 block of Columbus Ave, Chico, California, ","Match","Non_Exact","1000 COLUMBUS AVE, CHICO, CA, 95926","-121.858444957794,39.732016843479","68458799","L"
"2483489","3000 Continental Colony Pkwy SW, Atlanta, Georgia, ","Match","Exact","3000 CONTINENTAL COLONY PKWY SW, ATLANTA, GA, 30331","-84.492230878437,33.685054530079","17412316","L"
"2311123","1032 Hartley Rd, Cleveland, Ohio, ","Match","Exact","1032 HARTLEY RD, CLEVELAND, OH, 44110","-81.574965261195,41.551526383834","61163517","R"
"2723237","1200 block of Hazelwood St, Saint Paul, Minnesota, ","Match","Non_Exact","1200 HAZELWOOD ST, SAINT PAUL, MN, 55106","-93.035368389337,44.977576336809","97651405","R"
"2353847","2800 block of W Polk St, Chicago, Illinois, ","Match","Non_Exact","2800 W POLK ST, CHICAGO, IL, 60612","-87.696679661491,41.871117702444","605087888","R"
"2528066","4499 Warm Springs Rd Connector, Columbus, Georgia, ","Match","Non_Exact","4499 WARM SPRINGS RD, COLUMBUS, GA, 31909","-84.920216410303,32.517990847106","98939966","L"
"3005280","76 Wyoming Ct, Syosset, New York, ","Match","Exact","76 WYOMING CT, SYOSSET, NY, 11791","-73.492965656053,40.826913448324","147640326","R"
"2545871","8400 block of 8th Ave S, Birmingham, Alabama, ","No_Match"
"2786444","750 Citadel Dr E, Colorado Springs, Colorado, ","Match","Exact","750 CITADEL DR E, COLORADO SPRINGS, CO, 80909","-104.758874660541,38.844803701136","610723935","L"
"2139048","700 block of 99th Ave, Naples, Florida, ","No_Match"
"2611877","400 block of Bellevue Ave, Syracuse, New York, ","Match","Non_Exact","400 BELLEVUE AVE, SYRACUSE, NY, 13204","-76.160136537708,43.033473639648","46570456","R"
"2539196","3377 Talkeetna Rd, Douglasville, Georgia, ","Match","Exact","3377 TALKEETNA RD, DOUGLASVILLE, GA, 30135","-84.683916387665,33.691354409857","619735441","L"
"2518292","1300 block of W Fremont St, Stockton, California, ","Match","Non_Exact","1300 W FREMONT ST, STOCKTON, CA, 95203","-121.309449386275,37.954555741347","133899030","L"
"2501869","3719 Mack Ct, Cleveland, Ohio, ","Match","Exact","3719 MACK CT, CLEVELAND, OH, 44109","-81.709226635544,41.453427242804","61115474","L"
"2248613","1051 Martin Luther King Junior Drive, Monroe, Louisiana, ","Match","Exact","1051 MARTIN LUTHER KING JR DR, MONROE, LA, 71203","-92.081872825777,32.503566577648","616288919","L"
"2759654","4400 block of Griffing Dr, Port Arthur, Texas, ","Match","Non_Exact","4400 GRIFFING DR, PORT ARTHUR, TX, 77642","-93.922194900428,29.919810295675","73874079","R"
"2512985","62nd St and Akins Ave, San Diego, California, ","Match","Exact","62ND ST & AKINS AVE, SAN DIEGO, CA, 92114","-117.063924116111,32.710198234861","",""
"2396567","Park Heights Ave and Shirley Ave, Baltimore, Maryland, ","Tie"
"2344008","166 Bayview Ave, Jersey City, New Jersey, ","Match","Exact","166 BAYVIEW AVE, JERSEY CITY, NJ, 07305","-74.082237905274,40.706625805567","59604343","R"
"2393051","11 Grove St, Asheville, North Carolina, ","Tie"
"2714319","8846 A C Skinner Pkwy, Jacksonville, Florida, ","No_Match"
"2518281","12252 Point Reyes Dr, Peyton, Colorado, ","Match","Exact","12252 POINT REYES DR, PEYTON, CO, 80831","-104.60110141379,38.978582956628","617227825","R"
"2438461","1500 block of Devon Ln, Harrisonburg, Virginia, ","Match","Non_Exact","1500 DEVON LN, HARRISONBURG, VA, 22801","-78.876928556335,38.421660173816","55765495","R"
"2186696","3100 block of Marney Ave, Charlotte, North Carolina, ","Match","Non_Exact","3100 MARNEY AVE, CHARLOTTE, NC, 28205","-80.805980689969,35.195972905616","70488915","R"
"2947750","353 Court St, Rochester, New York, ","Match","Exact","353 COURT ST, ROCHESTER, NY, 14604","-77.601761228377,43.154540110631","14540223","R"
"2886674","5500 block of Babette Ct, Oak Forest, Illinois, ","Match","Non_Exact","5500 BABETTE CT, OAK FOREST, IL, 60452","-87.755089048373,41.598531333174","111703582","R"
"2819413","5000 block of N Orleans Ct, Denver, Colorado, ","Match","Non_Exact","5000 N ORLEANS CT, DENVER, CO, 80249","-104.737154382753,39.786692852664","641117260","R"
"2162269","200 block of E Louden St, Philadelphia, Pennsylvania, ","Match","Non_Exact","200 E LOUDEN ST, PHILADELPHIA, PA, 19120","-75.122031216256,40.022800549206","131420066","R"
"2884446","1400 block of Orange Grove Sq, Thibodaux, Louisiana, ","Match","Non_Exact","1400 ORANGE GROVE SQ, THIBODAUX, LA, 70301","-90.809308144492,29.843684529822","92341311","R"
"2509362","2909 E 78th St, Chicago, Illinois, ","Match","Exact","2909 E 78TH ST, CHICAGO, IL, 60649","-87.553999822652,41.753749580014","111775889","R"
"2454565","Rd 84 and Ave 208, Tulare, California, ","No_Match"
"2801260","4400 block of Mooney Rd, Houston, Texas, ","Match","Non_Exact","4400 MOONEY RD, HOUSTON, TX, 77093","-95.327593448191,29.881656894138","96074510","R"
"2432772","SE 92nd Ave and Powell Blvd, Portland, Oregon, ","Match","Non_Exact","SE 92ND AVE & SE POWELL BLVD, PORTLAND, OR, 97266","-122.568488039575,45.497379525335","",""
"2806956","11000 block of Pate Rd, Coker, Alabama, ","No_Match"
"2205024","3207 W Capitol St, Jackson, Mississippi, ","Match","Exact","3207 W CAPITOL ST, JACKSON, MS, 39209","-90.226986460989,32.321780251177","65366041","L"
"2370760","624 Forest Hill Rd, Macon, Georgia, ","Match","Exact","624 FOREST HILL RD, MACON, GA, 31210","-83.693028142928,32.876354478776","81084608","L"
"2172018","6802 W 26th St, Berwyn, Illinois, ","Match","Non_Exact","6802 26TH ST, BERWYN, IL, 60402","-87.793300699117,41.843202865769","605100258","L"
"2710366","214 S 6th St, Spring Lake, North Carolina, ","Match","Exact","214 S 6TH ST, SPRING LAKE, NC, 28390","-78.967379330953,35.167029644187","64193122","R"
"2187990","1403 N Market Loop, Baytown, Texas, ","Match","Exact","1403 N MARKET LOOP, BAYTOWN, TX, 77521","-95.033423439657,29.78689996949","642475619","R"
"2900213","1007 S 51st St, Philadelphia, Pennsylvania, ","Match","Exact","1007 S 51ST ST, PHILADELPHIA, PA, 19143","-75.221437978373,39.94452324653","131399888","L"
"2188843","3400 block of Emerald St, Philadelphia, Pennsylvania, ","Match","Non_Exact","3400 EMERALD ST, PHILADELPHIA, PA, 19134","-75.106598797746,39.99676457145","131427412","L"
"2815425","N Lynch St, Grenada, Mississippi, ","No_Match"
"2671589","8805 S Hoover St, Los Angeles, California, ","Match","Exact","8805 S HOOVER ST, LOS ANGELES, CA, 90044","-118.28702539015,33.957777058318","142661756","R"
"2908173","10000 block of Toelle Ln, Saint Louis, Missouri, ","Match","Non_Exact","10000 TOELLE LN, SAINT LOUIS, MO, 63137","-90.218213130722,38.748932382166","100150396","R"
"2713409","1500 E 1st St, Pomona, California, ","Match","Exact","1500 E 1ST ST, POMONA, CA, 91766","-117.726429748971,34.059251920427","141735097","R"
"2280711","900 Madison Ave, Pittsburgh, Pennsylvania, ","Match","Exact","900 MADISON AVE, PITTSBURGH, PA, 15212","-79.997297205666,40.455826651253","51627764","R"
"2713404","11018 Downey Ave, Downey, California, ","Match","Exact","11018 DOWNEY AVE, DOWNEY, CA, 90241","-118.131858171468,33.941601228019","141697793","L"
"2197328","800 block of W Clearfield St, Philadelphia, Pennsylvania, ","Match","Non_Exact","800 W CLEARFIELD ST, PHILADELPHIA, PA, 19133","-75.143871264484,39.998736435496","131418965","L"
"2468745","117 17th St NW, Atlanta, Georgia, ","Match","Exact","117 17TH ST NW, ATLANTA, GA, 30309","-84.38962752172,33.791219177965","17343416","R"
"2610514","24800 block of Evening Shadow Ct, Moreno Valley, California, ","Match","Non_Exact","24800 EVENING SHADOW CT, MORENO VALLEY, CA, 92557","-117.229939449017,33.96513619884","194820574","L"
"2713882","Lake St and Lyndale Ave, Minneapolis, Minnesota, ","Match","Non_Exact","W LAKE ST & LYNDALE AVE S, MINNEAPOLIS, MN, 55408","-93.288092746411,44.948368012526","",""
"2762803","111 W 3rd St, Lumberton, North Carolina, ","Match","Exact","111 W 3RD ST, LUMBERTON, NC, 28358","-79.008846640582,34.618604030758","49140759","L"
"2647013","1600 block of W Howard St, Chicago, Illinois, ","Match","Non_Exact","1600 W HOWARD ST, CHICAGO, IL, 60626","-87.671406846245,42.019429420229","111745180","R"
"2621640","900 block of Madison St, Oak Park, Illinois, ","No_Match"
