Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2555459,"March 27, 2023",Tennessee,Nashville,33 Burton Hills Blvd,6,0,1,0,0,,36.092929566439,-86.821934189778
2551678,"March 21, 2023",South Carolina,Sumter,190 Whitetail Cir,4,0,1,0,0,,,
2545871,"March 14, 2023",Alabama,Birmingham,8400 block of 8th Ave S,4,0,0,0,1,,,
2544817,"March 12, 2023",Texas,Dallas,3626 Villaverde Ave,4,0,0,0,2,,32.911135969159,-96.857714527347
2543201,"March 10, 2023",Florida,Hialeah,14811 NW 87th Ct,4,0,1,0,0,,25.905338406191,-80.341091211541
2536665,"March 1, 2023",Florida,Cocoa,4075 Alan Shepard Ave,4,0,0,0,1,,28.417929050919,-80.796342757814
2531925,"February 22, 2023",Alabama,Daphne,123 block of Melanie Loop,4,0,0,0,1,,30.646777272924,-87.869201427778
2527517,"February 17, 2023",Mississippi,Coldwater,3196 Arkabutla Dam Road,6,0,0,0,1,,34.74148963399,-90.131143514666
2605383,"January 29, 2023",Tennessee,Luttrell,380 Clinch Valley Rd,4,0,1,0,0,,36.225659723734,-83.723506389957
2509663,"January 23, 2023",California,Half Moon Bay,12761 San Mateo Rd,7,1,0,0,1,,,
2507836,"January 21, 2023",California,Monterey Park,122 W Garvey Ave,11,9,1,0,0,,34.062464858397,-118.126165858106
2503345,"January 16, 2023",California,Goshen,Harvest Ave and Rd 68,6,0,0,0,2,,36.34629697643,-119.421387908633
2501869,"January 13, 2023",Ohio,Cleveland,3719 Mack Ct,4,1,0,0,1,,41.453427242804,-81.709226635544
2497502,"January 7, 2023",North Carolina,High Point,2734 Mossy Meadow Dr,4,0,1,0,0,,36.009719093255,-79.976527269867
2495648,"January 4, 2023",Utah,Cedar City (Enoch),4923 N Albert Dr,7,0,1,0,0,,37.767792153362,-113.015993768999
2465761,"November 22, 2022",Virginia,Chesapeake,1521 Sam's Circle,6,6,1,0,0,,36.771939148665,-76.251611253647
2464943,"November 20, 2022",Oklahoma,Hennessey,2372 N 2760 Rd,4,1,0,0,1,,36.138679018238,-98.086756954671
2463465,"November 19, 2022",Colorado,Colorado Springs,3430 N Academy Blvd,5,19,0,0,1,,38.880141469169,-104.757160422873
2462457,"November 18, 2022",Virginia,Richmond,4275 Laurel Oak Rd,4,0,0,0,1,,37.396610926939,-77.467761020809
2452673,"November 4, 2022",Florida,Orlando,10145 Myers Dr,4,1,0,1,1,,28.56117394414,-81.240273268663
